,children,days_employed,dob_years,education,education_id,family_status,family_status_id,gender,income_type,debt,total_income,purpose,family_status_factorize,total_income_categorical,total_income_categorical_factorize,purpose_factorize,dob_years_categorical,days_employed_categorical
19,0,0.9167870820927742,48,среднее,1,в разводе,3,F,сотрудник,0,242831.107981772,автомобиль,3,75-100%,0,1,50-75%,75-100%
20,1,0.11978120241360259,36,среднее,1,женат / замужем,0,M,сотрудник,0,209552.64457761557,жильё,0,75-100%,0,0,25-50%,25-50%
21,1,0.0231675950487694,33,среднее,1,гражданский брак,1,F,сотрудник,0,131812.20390893804,автомобиль,1,25-50%,1,1,25-50%,0-25%
22,1,0.16133736417182692,24,среднее,1,гражданский брак,1,F,сотрудник,0,149681.1407311689,автомобиль,1,50-75%,2,1,0-25%,25-50%
23,0,0.0249298068523657,21,высшее,0,гражданский брак,1,M,сотрудник,0,128265.72087100228,свадьба,1,25-50%,1,3,0-25%,0-25%
24,1,30.917986567248327,57,среднее,1,Не женат / не замужем,4,F,пенсионер,0,290547.2359974949,жильё,4,75-100%,0,0,75-100%,75-100%
25,0,33.20077528295852,67,среднее,1,женат / замужем,0,M,пенсионер,0,55112.757731719255,жильё,0,0-25%,3,0,75-100%,75-100%
27,0,0.04832800316524417,28,высшее,0,женат / замужем,0,M,сотрудник,0,308848.9836905699,жильё,0,75-100%,0,0,0-25%,0-25%
28,1,0.06550450446957741,26,высшее,0,женат / замужем,0,F,сотрудник,0,187863.2373059588,жильё,0,50-75%,2,0,0-25%,0-25%
30,1,30.646727718262582,62,среднее,1,женат / замужем,0,F,пенсионер,0,171456.06799338743,жильё,0,50-75%,2,0,75-100%,75-100%
31,0,0.1536149258524886,47,начальное,3,женат / замужем,0,F,сотрудник,0,275485.684538057,жильё,0,75-100%,0,0,50-75%,25-50%
32,0,0.42464939102544413,34,среднее,1,гражданский брак,1,F,сотрудник,1,139057.46420747985,свадьба,1,25-50%,1,3,25-50%,50-75%
33,0,0.14142808617721098,48,среднее,1,женат / замужем,0,F,компаньон,0,157245.78623254097,жильё,0,50-75%,2,0,50-75%,25-50%
34,0,0.409869135276444,35,среднее,1,женат / замужем,0,F,сотрудник,0,104660.44920263148,жильё,0,25-50%,1,0,25-50%,50-75%
35,0,35.98365956016395,68,среднее,1,гражданский брак,1,M,пенсионер,0,77805.67743642293,свадьба,1,0-25%,3,3,75-100%,75-100%
36,0,0.01609284824996544,33,среднее,1,Не женат / не замужем,4,M,сотрудник,0,138830.65073407194,автомобиль,4,25-50%,1,1,25-50%,0-25%
37,0,0.5889324986005666,43,высшее,0,гражданский брак,1,F,компаньон,0,154128.87867164516,автомобиль,1,50-75%,2,1,50-75%,75-100%
38,0,0.054601080119188045,25,высшее,0,Не женат / не замужем,4,M,сотрудник,1,192247.29863931693,образование,4,50-75%,2,2,0-25%,0-25%
39,0,0.059414410630379784,31,высшее,0,гражданский брак,1,F,компаньон,0,754240.7972479195,образование,1,75-100%,0,2,0-25%,0-25%
40,0,0.09409704160743974,30,среднее,1,Не женат / не замужем,4,M,компаньон,0,142865.57914588266,жильё,4,25-50%,1,0,0-25%,25-50%
42,0,0.11483983472133373,20,неоконченное высшее,2,Не женат / не замужем,4,F,сотрудник,0,82065.08902109257,образование,4,0-25%,3,2,0-25%,25-50%
43,0,0.3996056058776736,43,неоконченное высшее,2,в разводе,3,F,компаньон,0,272957.1335085173,автомобиль,3,75-100%,0,1,50-75%,50-75%
44,1,0.12438737237445102,26,среднее,1,женат / замужем,0,F,сотрудник,0,100780.496748708,автомобиль,0,0-25%,3,1,0-25%,25-50%
45,1,0.09492709959603915,49,среднее,1,Не женат / не замужем,4,F,сотрудник,0,106385.91972360344,образование,4,25-50%,1,2,50-75%,25-50%
46,2,0.20664039302226542,37,среднее,1,женат / замужем,0,F,компаньон,0,182682.4598984296,автомобиль,0,50-75%,2,1,25-50%,50-75%
47,1,0.2455833127126278,33,высшее,0,гражданский брак,1,M,госслужащий,0,356277.90934547666,свадьба,1,75-100%,0,3,25-50%,50-75%
48,0,0.3051203549187273,45,среднее,1,женат / замужем,0,F,сотрудник,0,162065.5164499865,жильё,0,50-75%,2,0,50-75%,50-75%
49,0,0.10789435874637524,54,среднее,1,женат / замужем,0,F,сотрудник,0,44591.80688753629,автомобиль,0,0-25%,3,1,75-100%,25-50%
50,0,32.30424039619161,63,среднее,1,женат / замужем,0,F,пенсионер,0,92342.73061169684,автомобиль,0,0-25%,3,1,75-100%,75-100%
51,1,0.635034854298005,50,высшее,0,гражданский брак,1,F,сотрудник,0,203199.6835687721,свадьба,1,50-75%,2,3,50-75%,75-100%
52,1,0.32462753659846233,28,среднее,1,женат / замужем,0,F,сотрудник,0,52746.4223236867,образование,0,0-25%,3,2,0-25%,50-75%
53,0,0.3853774781377215,61,среднее,1,в разводе,3,F,компаньон,0,311453.5995296128,жильё,3,75-100%,0,0,75-100%,50-75%
54,0,0.3178148669199749,27,высшее,0,гражданский брак,1,F,сотрудник,0,92238.81311104933,автомобиль,1,0-25%,3,1,0-25%,50-75%
56,0,33.80320431389776,64,среднее,1,вдовец / вдова,2,F,пенсионер,0,149141.04353267475,образование,2,50-75%,2,2,75-100%,75-100%
57,0,0.22144381268840108,44,среднее,1,вдовец / вдова,2,F,сотрудник,0,58616.40596004223,образование,2,0-25%,3,2,50-75%,50-75%
58,0,0.03062270597116782,36,высшее,0,женат / замужем,0,M,сотрудник,0,414404.2028972774,жильё,0,75-100%,0,0,25-50%,0-25%
59,0,0.3965102078000039,53,среднее,1,гражданский брак,1,F,компаньон,0,261369.5064850721,жильё,1,75-100%,0,0,75-100%,50-75%
60,1,0.23145775254130896,48,среднее,1,женат / замужем,0,M,сотрудник,0,129902.28373544553,образование,0,25-50%,1,2,50-75%,50-75%
61,0,0.27271252240057897,42,среднее,1,гражданский брак,1,F,сотрудник,0,173987.4729290881,жильё,1,50-75%,2,0,50-75%,50-75%
62,0,0.7164976468877526,48,высшее,0,Не женат / не замужем,4,M,госслужащий,0,435388.1952724901,образование,4,75-100%,0,2,50-75%,75-100%
63,0,0.1079952277376942,45,среднее,1,женат / замужем,0,F,сотрудник,0,110004.35982164997,жильё,0,25-50%,1,0,50-75%,25-50%
64,0,0.010857663143790037,35,неоконченное высшее,2,Не женат / не замужем,4,M,сотрудник,0,282900.4713076374,автомобиль,4,75-100%,0,1,25-50%,0-25%
66,0,0.08369213052564026,28,среднее,1,женат / замужем,0,M,сотрудник,0,145214.52360210626,образование,0,50-75%,2,2,0-25%,0-25%
68,2,0.1965731074289273,46,высшее,0,женат / замужем,0,M,компаньон,0,592071.4645709557,жильё,0,75-100%,0,0,50-75%,25-50%
69,0,0.07116241544729997,23,среднее,1,Не женат / не замужем,4,F,сотрудник,0,91247.05816440449,жильё,4,0-25%,3,0,0-25%,0-25%
70,1,0.2559111115430803,28,высшее,0,женат / замужем,0,M,госслужащий,0,207561.4669982881,жильё,0,75-100%,0,0,0-25%,50-75%
71,0,30.87794793538696,62,среднее,1,женат / замужем,0,F,пенсионер,0,43929.69639696845,автомобиль,0,0-25%,3,1,75-100%,75-100%
73,0,0.14903556188328188,40,среднее,1,гражданский брак,1,M,сотрудник,0,97946.84101113868,образование,1,0-25%,3,2,25-50%,25-50%
74,1,0.4667163204798858,45,среднее,1,женат / замужем,0,F,сотрудник,0,81142.78348993426,жильё,0,0-25%,3,0,50-75%,50-75%
75,1,0.2696942417879391,38,среднее,1,женат / замужем,0,M,сотрудник,1,81935.38150009303,жильё,0,0-25%,3,0,25-50%,50-75%
76,1,0.20567970063873084,44,высшее,0,женат / замужем,0,M,сотрудник,0,148992.03001020846,автомобиль,0,50-75%,2,1,50-75%,50-75%
77,0,0.06638755896124783,43,высшее,0,Не женат / не замужем,4,F,сотрудник,0,140843.97435987124,автомобиль,4,25-50%,1,1,50-75%,0-25%
78,0,32.85141050901482,61,высшее,0,женат / замужем,0,M,пенсионер,0,175127.64600043945,автомобиль,0,50-75%,2,1,75-100%,75-100%
79,0,0.299387831157965,27,среднее,1,Не женат / не замужем,4,M,компаньон,0,253681.70989067023,автомобиль,4,75-100%,0,1,0-25%,50-75%
80,0,0.011628761863559137,25,среднее,1,Не женат / не замужем,4,F,компаньон,0,82740.41289886518,автомобиль,4,0-25%,3,1,0-25%,0-25%
81,0,0.018691613290562153,33,среднее,1,женат / замужем,0,F,сотрудник,0,110833.2153688148,образование,0,25-50%,1,2,25-50%,0-25%
84,0,0.6507045687319288,53,среднее,1,женат / замужем,0,F,госслужащий,0,255909.1728015964,жильё,0,75-100%,0,0,75-100%,75-100%
85,0,0.025204917578848594,30,среднее,1,женат / замужем,0,M,сотрудник,0,54123.55781196013,образование,0,0-25%,3,2,0-25%,0-25%
86,0,35.062424626880215,64,среднее,1,гражданский брак,1,M,пенсионер,0,243033.4532808924,свадьба,1,75-100%,0,3,75-100%,75-100%
87,0,30.836487214940156,53,среднее,1,женат / замужем,0,F,пенсионер,0,74363.8565543125,жильё,0,0-25%,3,0,75-100%,75-100%
88,0,34.07577987710616,63,высшее,0,гражданский брак,1,F,пенсионер,0,206872.3500608577,свадьба,1,75-100%,0,3,75-100%,75-100%
89,0,0.006632491799494491,42,среднее,1,гражданский брак,1,F,компаньон,0,49463.91938004758,автомобиль,1,0-25%,3,1,50-75%,0-25%
91,2,0.457625336632445,39,среднее,1,женат / замужем,0,F,сотрудник,0,155886.85657536547,жильё,0,50-75%,2,0,25-50%,50-75%
92,1,0.15244563301322345,40,высшее,0,гражданский брак,1,F,сотрудник,0,191397.96274969063,свадьба,1,50-75%,2,3,25-50%,25-50%
93,1,0.13211164765520889,32,среднее,1,женат / замужем,0,M,сотрудник,1,331139.5902983196,автомобиль,0,75-100%,0,1,0-25%,25-50%
95,0,0.049482396453271064,51,высшее,0,женат / замужем,0,F,сотрудник,0,94187.8780821613,автомобиль,0,0-25%,3,1,50-75%,0-25%
98,0,33.32476764708212,54,высшее,0,женат / замужем,0,F,пенсионер,0,199707.2985241309,жильё,0,50-75%,2,0,75-100%,75-100%
99,0,31.64763642875998,21,среднее,1,женат / замужем,0,F,пенсионер,0,71291.52249055503,автомобиль,0,0-25%,3,1,0-25%,75-100%
100,0,0.055253556253037316,49,среднее,1,вдовец / вдова,2,F,сотрудник,1,176384.8825358073,жильё,2,50-75%,2,0,50-75%,0-25%
101,0,35.75880930128373,65,среднее,1,женат / замужем,0,F,пенсионер,0,157970.48639320125,автомобиль,0,50-75%,2,1,75-100%,75-100%
102,0,0.12579426804380048,51,среднее,1,гражданский брак,1,F,компаньон,0,126706.59851264796,автомобиль,1,25-50%,1,1,50-75%,25-50%
103,1,0.0811217668570901,39,среднее,1,Не женат / не замужем,4,F,сотрудник,0,142231.48942162484,жильё,4,25-50%,1,0,25-50%,0-25%
104,0,33.454214559720924,59,среднее,1,Не женат / не замужем,4,F,пенсионер,0,163581.95007326518,жильё,4,50-75%,2,0,75-100%,75-100%
105,0,0.1916553695183301,62,среднее,1,вдовец / вдова,2,F,сотрудник,0,76884.18758751624,жильё,2,0-25%,3,0,75-100%,25-50%
106,1,0.02745594459262603,29,среднее,1,гражданский брак,1,F,сотрудник,0,171871.73288718596,образование,1,50-75%,2,2,0-25%,0-25%
107,0,0.13638804720301073,24,высшее,0,гражданский брак,1,F,компаньон,0,202988.76912028992,жильё,1,50-75%,2,0,0-25%,25-50%
108,2,0.06880977553295682,33,высшее,0,гражданский брак,1,F,сотрудник,0,180051.75197761177,автомобиль,1,50-75%,2,1,25-50%,0-25%
109,0,0.19611621988153286,59,среднее,1,женат / замужем,0,F,сотрудник,0,107643.67560995698,образование,0,25-50%,1,2,75-100%,25-50%
110,0,0.03780663032810456,41,среднее,1,женат / замужем,0,M,госслужащий,0,118551.6078291152,жильё,0,25-50%,1,0,25-50%,0-25%
111,0,1.1808713861002442,61,среднее,1,Не женат / не замужем,4,F,компаньон,0,173896.61827401767,жильё,4,50-75%,2,0,75-100%,75-100%
112,1,0.16816055657344245,28,высшее,0,женат / замужем,0,M,сотрудник,0,280934.30586873967,жильё,0,75-100%,0,0,0-25%,25-50%
113,0,0.5556159570437752,52,среднее,1,женат / замужем,0,F,госслужащий,0,120655.0982583378,образование,0,25-50%,1,2,50-75%,75-100%
114,0,0.14610768597598608,26,высшее,0,женат / замужем,0,F,сотрудник,1,143471.7122774315,жильё,0,25-50%,1,0,0-25%,25-50%
115,1,0.23048839253214368,38,высшее,0,женат / замужем,0,F,госслужащий,0,97848.2766110214,жильё,0,0-25%,3,0,25-50%,50-75%
116,1,0.04931857764508551,50,среднее,1,женат / замужем,0,M,сотрудник,0,83366.31969915295,жильё,0,0-25%,3,0,50-75%,0-25%
117,0,0.34859482141863024,41,среднее,1,в разводе,3,F,сотрудник,0,178975.13357434978,автомобиль,3,50-75%,2,1,25-50%,50-75%
118,2,0.2533931632047518,33,среднее,1,гражданский брак,1,M,компаньон,0,113572.21337646277,свадьба,1,25-50%,1,3,25-50%,50-75%
119,0,34.903116808728086,60,среднее,1,Не женат / не замужем,4,F,пенсионер,0,31534.750497334928,жильё,4,0-25%,3,0,75-100%,75-100%
122,0,0.01563127129876171,55,высшее,0,женат / замужем,0,F,компаньон,0,103628.07085383665,автомобиль,0,25-50%,1,1,75-100%,0-25%
123,2,0.5222565206472274,39,среднее,1,женат / замужем,0,M,сотрудник,0,83892.81598726273,жильё,0,0-25%,3,0,25-50%,75-100%
124,0,0.09867714907992346,38,среднее,1,женат / замужем,0,F,сотрудник,1,175046.42251455868,жильё,0,50-75%,2,0,25-50%,25-50%
125,0,0.017456323815930746,64,высшее,0,гражданский брак,1,F,компаньон,0,186408.7418299351,свадьба,1,50-75%,2,3,75-100%,0-25%
126,1,0.22571219651309798,49,среднее,1,женат / замужем,0,M,компаньон,0,339517.3610727709,жильё,0,75-100%,0,0,50-75%,50-75%
127,0,0.4775846638291488,43,высшее,0,Не женат / не замужем,4,F,сотрудник,0,203279.59982532423,жильё,4,50-75%,2,0,50-75%,50-75%
128,0,34.61515256794912,67,среднее,1,в разводе,3,F,пенсионер,0,112331.78706716756,автомобиль,3,25-50%,1,1,75-100%,75-100%
129,0,32.96897911871818,61,среднее,1,гражданский брак,1,M,пенсионер,0,103644.93254718713,автомобиль,1,25-50%,1,1,75-100%,75-100%
130,0,0.08194728817687001,42,среднее,1,женат / замужем,0,F,компаньон,0,95845.74470717036,жильё,0,0-25%,3,0,50-75%,0-25%
131,0,0.0584077358503801,58,среднее,1,женат / замужем,0,M,сотрудник,0,73637.58619017908,образование,0,0-25%,3,2,75-100%,0-25%
132,1,0.1193085347959443,45,среднее,1,женат / замужем,0,M,сотрудник,0,246227.99254138197,автомобиль,0,75-100%,0,1,50-75%,25-50%
133,0,31.461862354779107,64,среднее,1,женат / замужем,0,F,пенсионер,0,79047.6530585805,образование,0,0-25%,3,2,75-100%,75-100%
134,1,0.3809230755310398,46,неоконченное высшее,2,в разводе,3,F,сотрудник,0,166015.79050422882,жильё,3,50-75%,2,0,50-75%,50-75%
136,0,32.68311957797275,60,начальное,3,женат / замужем,0,M,пенсионер,0,113124.20278145476,жильё,0,25-50%,1,0,75-100%,75-100%
137,1,0.17443265683274492,28,высшее,0,гражданский брак,1,M,сотрудник,0,269423.96295991854,свадьба,1,75-100%,0,3,0-25%,25-50%
138,0,0.23489070070477286,43,среднее,1,женат / замужем,0,F,госслужащий,0,119827.6542453248,жильё,0,25-50%,1,0,50-75%,50-75%
139,0,0.16123811750634315,29,неоконченное высшее,2,женат / замужем,0,M,компаньон,0,196932.07728901436,жильё,0,50-75%,2,0,0-25%,25-50%
140,0,0.27559653565809356,24,среднее,1,гражданский брак,1,F,сотрудник,0,102110.98914883527,жильё,1,0-25%,3,0,0-25%,50-75%
142,0,31.77605803720369,54,среднее,1,женат / замужем,0,F,пенсионер,0,108280.64485742812,автомобиль,0,25-50%,1,1,75-100%,75-100%
143,0,0.1729040939397156,48,среднее,1,вдовец / вдова,2,F,сотрудник,0,151069.43847035486,жильё,2,50-75%,2,0,50-75%,25-50%
144,1,0.192272389437036,45,среднее,1,гражданский брак,1,F,сотрудник,0,284248.0832952967,автомобиль,1,75-100%,0,1,50-75%,25-50%
146,0,0.11890648785156892,46,среднее,1,женат / замужем,0,F,сотрудник,0,98709.73054718717,жильё,0,0-25%,3,0,50-75%,25-50%
147,0,0.5271671137510876,47,среднее,1,женат / замужем,0,F,госслужащий,1,74535.09733065074,жильё,0,0-25%,3,0,50-75%,75-100%
148,0,0.4612139579773774,37,среднее,1,женат / замужем,0,F,сотрудник,0,145159.21497712686,автомобиль,0,50-75%,2,1,25-50%,50-75%
149,0,0.24331261811115587,21,среднее,1,в разводе,3,F,сотрудник,0,70176.43595051017,жильё,3,0-25%,3,0,0-25%,50-75%
150,0,35.95538994727653,71,среднее,1,гражданский брак,1,F,пенсионер,0,174088.29322065786,свадьба,1,50-75%,2,3,75-100%,75-100%
151,0,0.08186870971402876,37,высшее,0,гражданский брак,1,F,компаньон,0,463089.9792084557,свадьба,1,75-100%,0,3,25-50%,0-25%
152,1,0.32856405368637637,39,среднее,1,женат / замужем,0,F,компаньон,0,40891.12824378687,жильё,0,0-25%,3,0,25-50%,50-75%
153,1,0.012123153975402893,20,среднее,1,женат / замужем,0,M,компаньон,1,134750.74951489054,жильё,0,25-50%,1,0,0-25%,0-25%
154,1,0.1647425210290284,41,высшее,0,вдовец / вдова,2,F,сотрудник,0,143113.3292930616,жильё,2,25-50%,1,0,25-50%,25-50%
155,0,0.11037408024453092,40,среднее,1,женат / замужем,0,F,компаньон,0,70788.33944690305,образование,0,0-25%,3,2,25-50%,25-50%
156,0,33.092863668056495,65,среднее,1,женат / замужем,0,M,пенсионер,0,261291.0364533132,образование,0,75-100%,0,2,75-100%,75-100%
157,0,31.818632694923235,38,среднее,1,женат / замужем,0,F,пенсионер,1,113560.65003534064,автомобиль,0,25-50%,1,1,25-50%,75-100%
158,0,1.0047113326088644,56,среднее,1,женат / замужем,0,F,сотрудник,0,80547.23925773834,образование,0,0-25%,3,2,75-100%,75-100%
159,0,33.88609103312431,59,среднее,1,Не женат / не замужем,4,F,пенсионер,0,149542.8588742301,автомобиль,4,50-75%,2,1,75-100%,75-100%
160,0,0.1884222349764648,45,среднее,1,гражданский брак,1,M,сотрудник,0,198386.798958856,жильё,1,50-75%,2,0,50-75%,25-50%
161,1,0.10480288926408383,39,высшее,0,женат / замужем,0,F,сотрудник,0,87107.11820547588,автомобиль,0,0-25%,3,1,25-50%,25-50%
162,0,0.3429993645820689,62,среднее,1,женат / замужем,0,M,сотрудник,0,66577.61712641187,образование,0,0-25%,3,2,75-100%,50-75%
163,0,0.682548215280513,50,среднее,1,женат / замужем,0,M,сотрудник,0,78975.57711163633,жильё,0,0-25%,3,0,50-75%,75-100%
164,2,0.21529892361723094,27,высшее,0,женат / замужем,0,F,сотрудник,1,369587.0876962028,автомобиль,0,75-100%,0,1,0-25%,50-75%
165,2,0.11587860142670488,32,высшее,0,женат / замужем,0,M,госслужащий,0,228289.248361869,жильё,0,75-100%,0,0,0-25%,25-50%
166,0,0.04110149245501375,38,среднее,1,гражданский брак,1,M,сотрудник,0,144073.71137831223,жильё,1,25-50%,1,0,25-50%,0-25%
167,0,0.6592946198575204,56,среднее,1,гражданский брак,1,F,госслужащий,0,220719.05505659032,свадьба,1,75-100%,0,3,75-100%,75-100%
168,0,33.056641142031445,67,среднее,1,вдовец / вдова,2,F,пенсионер,0,139038.94464450798,жильё,2,25-50%,1,0,75-100%,75-100%
169,0,33.982729950071175,58,среднее,1,гражданский брак,1,F,пенсионер,0,167861.70077631506,автомобиль,1,50-75%,2,1,75-100%,75-100%
170,0,0.016641709886107553,28,высшее,0,Не женат / не замужем,4,M,сотрудник,0,121721.8927765662,жильё,4,25-50%,1,0,0-25%,0-25%
171,0,0.873629358125862,60,среднее,1,гражданский брак,1,F,компаньон,0,225197.795335085,свадьба,1,75-100%,0,3,75-100%,75-100%
172,0,0.4248555131841647,49,среднее,1,женат / замужем,0,F,сотрудник,0,182980.11560336116,жильё,0,50-75%,2,0,50-75%,50-75%
173,0,0.8310452333136354,49,среднее,1,женат / замужем,0,M,компаньон,0,416461.874680372,жильё,0,75-100%,0,0,50-75%,75-100%
175,2,0.15842383668745397,38,среднее,1,женат / замужем,0,F,сотрудник,0,141210.68421368927,жильё,0,25-50%,1,0,25-50%,25-50%
176,0,33.25828812148698,60,среднее,1,женат / замужем,0,F,пенсионер,0,104621.06741141542,образование,0,25-50%,1,2,75-100%,75-100%
177,2,0.19263147859653926,48,среднее,1,женат / замужем,0,M,госслужащий,0,173074.19294233265,автомобиль,0,50-75%,2,1,50-75%,25-50%
178,0,36.139576383389276,59,среднее,1,вдовец / вдова,2,F,пенсионер,0,87268.77878594003,автомобиль,2,0-25%,3,1,75-100%,75-100%
179,0,0.10749364232378755,43,среднее,1,Не женат / не замужем,4,F,сотрудник,0,177790.01385692504,жильё,4,50-75%,2,0,50-75%,25-50%
180,0,0.005537655484505416,37,среднее,1,гражданский брак,1,F,сотрудник,0,212257.2125065801,свадьба,1,75-100%,0,3,25-50%,0-25%
182,1,0.7456012063393554,49,среднее,1,гражданский брак,1,F,сотрудник,0,81419.70340277969,свадьба,1,0-25%,3,3,50-75%,75-100%
183,1,0.015184021647149553,35,высшее,0,гражданский брак,1,M,компаньон,1,272193.00295690284,образование,1,75-100%,0,2,25-50%,0-25%
184,0,33.760933581294026,57,высшее,0,женат / замужем,0,M,пенсионер,0,141337.86704165823,жильё,0,25-50%,1,0,75-100%,75-100%
185,0,0.4590163890660139,32,среднее,1,гражданский брак,1,M,сотрудник,1,160905.70703999972,образование,1,50-75%,2,2,0-25%,50-75%
186,0,0.020559241048406247,34,среднее,1,в разводе,3,F,сотрудник,0,201650.35527091235,жильё,3,50-75%,2,0,25-50%,0-25%
187,0,0.08007699636221938,46,высшее,0,гражданский брак,1,F,сотрудник,0,260037.6656030533,образование,1,75-100%,0,2,50-75%,0-25%
188,0,0.009058990589078957,48,среднее,1,женат / замужем,0,M,сотрудник,0,173544.6795225835,жильё,0,50-75%,2,0,50-75%,0-25%
190,0,0.030641365875380022,26,среднее,1,гражданский брак,1,M,компаньон,0,160891.47206000533,свадьба,1,50-75%,2,3,0-25%,0-25%
191,0,30.736257208388913,60,среднее,1,женат / замужем,0,F,пенсионер,0,173948.35223498062,образование,0,50-75%,2,2,75-100%,75-100%
192,0,0.23498966030852533,47,среднее,1,женат / замужем,0,M,сотрудник,0,218442.0077563275,автомобиль,0,75-100%,0,1,50-75%,50-75%
193,0,35.28135626813209,60,высшее,0,в разводе,3,F,пенсионер,0,97191.99640027812,автомобиль,3,0-25%,3,1,75-100%,75-100%
194,0,0.008978279605884942,24,среднее,1,гражданский брак,1,M,компаньон,0,135860.8870305674,образование,1,25-50%,1,2,0-25%,0-25%
195,0,0.010696610637387385,51,среднее,1,женат / замужем,0,F,сотрудник,0,255838.3616801636,образование,0,75-100%,0,2,50-75%,0-25%
196,0,0.1451855160691613,37,высшее,0,женат / замужем,0,F,компаньон,0,160754.5480823424,жильё,0,50-75%,2,0,25-50%,25-50%
197,0,1.108322500533912,59,высшее,0,женат / замужем,0,F,сотрудник,0,140849.62459987565,жильё,0,25-50%,1,0,75-100%,75-100%
198,0,0.12813523560748113,52,среднее,1,Не женат / не замужем,4,F,компаньон,0,139169.41346167913,автомобиль,4,25-50%,1,1,50-75%,25-50%
199,1,0.020415252756970266,23,среднее,1,вдовец / вдова,2,F,сотрудник,0,58549.627394318864,автомобиль,2,0-25%,3,1,0-25%,0-25%
200,0,0.5052394689528665,41,среднее,1,гражданский брак,1,F,сотрудник,0,201126.0474025323,жильё,1,50-75%,2,0,25-50%,50-75%
201,0,0.5974850036672129,39,среднее,1,женат / замужем,0,F,компаньон,0,86996.80722956106,жильё,0,0-25%,3,0,25-50%,75-100%
202,1,0.1438651669015389,38,среднее,1,женат / замужем,0,F,сотрудник,1,90960.94119189213,жильё,0,0-25%,3,0,25-50%,25-50%
203,0,0.2584169639485702,56,среднее,1,женат / замужем,0,M,сотрудник,0,163774.77340601108,жильё,0,50-75%,2,0,75-100%,50-75%
204,0,30.560499037695223,61,среднее,1,женат / замужем,0,F,пенсионер,0,181307.7994224636,жильё,0,50-75%,2,0,75-100%,75-100%
206,0,33.23514901074722,54,среднее,1,женат / замужем,0,F,пенсионер,0,267172.7091996921,образование,0,75-100%,0,2,75-100%,75-100%
207,0,0.12349935222699363,37,среднее,1,Не женат / не замужем,4,F,сотрудник,0,112735.87896430984,жильё,4,25-50%,1,0,25-50%,25-50%
208,0,0.06841787007298111,22,среднее,1,гражданский брак,1,M,компаньон,0,162492.01844851565,образование,1,50-75%,2,2,0-25%,0-25%
209,2,0.024800961781300347,38,высшее,0,женат / замужем,0,F,сотрудник,0,195133.38745708505,жильё,0,50-75%,2,0,25-50%,0-25%
